"hotel_name","city","address","rating","top_attractions","Restaurants & cafes","Public transit","Closest Airports","Parking","Languages Spoken","Check_in","Check_out","Pets_allowance","facilities"
"Cozy apartment at King George str Pagkrati","Athens","42 Βασιλέως Γεωργίου B, Athens, 11634, Greece Excellent location – rated 9.4/10!","9.1","['Erechtheion\n2.3 km', 'Odeum of Herodes Atticus\n2.5 km', 'Parthenon\n2.7 km', 'Acropolis Museum\n2 km', 'Syntagma Square\n1.5 km', 'Temple of Olympion Zeus\n1.7 km', 'Monastiraki Square\n2.4 km', 'Roman Agora\n2.2 km', 'Zappion - National Garden\n1.5 km', 'Ancient Agora of Athens\n2.7 km']","['Cafe/BarSmall8\n300 m', 'RestaurantPiggy-popoulo\n250 m', 'Cafe/BarAkrovatis Bar\n250 m']","['TrainMonastiraki Train Station 2.4 km', 'TrainTeleferik 1.1 km', 'BusAthens International Bus Station 6 km', 'SubwayEvangelismos Metro Station 600 m', 'SubwayMegaro Mousikis Metro Station 1 km']","['Eleftherios Venizelos Airport\n25 km']","False","['English', 'Greek']","From 3:00 PM to 10:00 PM","From 8:00 AM to 12:00 PM","False","['Airport shuttle', 'Free Wifi', 'Air conditioning', 'Terrace', 'Heating', 'Elevator', 'Family rooms', 'Non-smoking rooms']"
"Urbanised Pangrati 2 bedroom Luxury","Athens","Archelaou 13 6th Floor, Athens, 116 35, Greece Excellent location – rated 10/10!","8.0","['Acropolis Museum\n1.9 km', 'Museum of Cycladic Art\n900 m', 'Roman Agora\n2 km', 'Syntagma Square\n1.5 km', 'Zappion - National Garden\n1.4 km', 'Erechtheion\n2.1 km', 'Odeum of Herodes Atticus\n2.3 km', 'Temple of Olympion Zeus\n1.6 km', 'Monastiraki Square\n2.2 km', 'Parthenon\n2.6 km']","['Cafe/BarSmall8\n50 m', 'RestaurantPiggy-popoulo\n5 m', 'Cafe/BarAkrovatis Bar\n50 m']","['SubwaySyntagma Metro Station 1.4 km', 'SubwayEvangelismos Metro Station 700 m', 'TrainMonastiraki Train Station 2.3 km', 'BusAthens International Bus Station 6 km', 'TrainTeleferik 1.2 km']","['Eleftherios Venizelos Airport\n26 km']","False","['Πλατεία Μεσολογγίου350 m', 'Αγαλμα Τρουμαν300 m', 'Καλλιμαρμαρο Παναθηναϊκο Σταδιο700 m', 'War Museum750 m', 'French', 'English', 'Σαρογλειο Μεγαρο650 m', 'Byzantine Museum700 m', 'Greek', 'Αρχ. Χωροσ Λυκειου Αριστοτελη600 m', 'Πλατεία Αγίου Σπυρίδωνος350 m', 'Πλατεία Πλαστήρα500 m', 'Λυκειο Αριστοτελουσ750 m']","From 3:00 PM to 12:00 AM","From 8:00 AM to 11:00 AM","False","['Free Wifi', 'Air conditioning', 'Terrace', 'Heating', 'Elevator', 'Non-smoking rooms', 'Free parking']"
"Sophisticated Modern Apt in Athens center","Athens","15 Archelaou, Athens, 11635, Greece Excellent location – rated 9.7/10!","9.2","['Acropolis Museum\n1.8 km', 'Museum of Cycladic Art\n850 m', 'Roman Agora\n2 km', 'Syntagma Square\n1.4 km', 'Zappion - National Garden\n1.4 km', 'Erechtheion\n2.1 km', 'Odeum of Herodes Atticus\n2.3 km', 'Temple of Olympion Zeus\n1.6 km', 'Monastiraki Square\n2.2 km', 'Parthenon\n2.6 km']","['Cafe/BarAkrovatis Bar\n40 m', 'Cafe/BarSmall8\n50 m', 'RestaurantPiggy-popoulo\n10 m']","['SubwaySyntagma Metro Station 1.4 km', 'SubwayEvangelismos Metro Station 700 m', 'TrainMonastiraki Train Station 2.3 km', 'BusAthens International Bus Station 6 km', 'TrainTeleferik 1.2 km']","['Eleftherios Venizelos Airport\n26 km']","False","['Πλατεία Μεσολογγίου350 m', 'Αγαλμα Τρουμαν300 m', 'Καλλιμαρμαρο Παναθηναϊκο Σταδιο700 m', 'Αρχ. Χωροσ Λυκειου Αριστοτελη550 m', 'English', 'War Museum700 m', 'Σαρογλειο Μεγαρο650 m', 'Byzantine Museum700 m', 'Greek', 'Πλατεία Αγίου Σπυρίδωνος350 m', 'Πλατεία Πλαστήρα500 m', 'Λυκειο Αριστοτελουσ750 m']","From 3:00 PM to 12:00 AM","From 7:00 AM to 11:00 AM","False","['Airport shuttle', 'Free Wifi', 'Air conditioning', 'Heating', 'Non-smoking rooms']"
"TONI'S makes you an offer, you cannot refuse.","Athens","Chironos 6, Athens, 116 35, Greece Excellent location – rated 9.8/10!","9.8","['Acropolis Museum\n1.8 km', 'Roman Agora\n2 km', 'Syntagma Square\n1.4 km', 'Zappion - National Garden\n1.4 km', 'Erechtheion\n2.1 km', 'Odeum of Herodes Atticus\n2.3 km', 'Parthenon\n2.5 km', 'Monastiraki Square\n2.2 km', 'Temple of Olympion Zeus\n1.5 km', 'Ancient Agora of Athens\n2.7 km']","['RestaurantTo Mavro Provato\n150 m', 'RestaurantPiggy-popoulo\n100 m', 'Cafe/BarAkrovatis Bar\n50 m']","['TrainTeleferik 1 km', 'SubwayMegaro Mousikis Metro Station 1.1 km', 'TrainMonastiraki Train Station 2.3 km', 'BusAthens International Bus Station 6 km', 'SubwayEvangelismos Metro Station 600 m']","['Eleftherios Venizelos Airport\n26 km']","False","['Byzantine Museum600 m', 'Αγαλμα Τρουμαν300 m', 'Πλατεία Αγίου Σπυρίδωνος400 m', 'Museum of Cycladic Art850 m', 'Αρχ. Χωροσ Λυκειου Αριστοτελη550 m', 'Πλατεία Μεσολογγίου450 m', 'Πλατεία Πλαστήρα600 m', 'War Museum600 m', 'Σαρογλειο Μεγαρο650 m', 'English', 'Greek', 'Λυκειο Αριστοτελουσ750 m']","From 3:00 PM to 11:00 PM","From 12:00 AM to 11:00 AM","False","['Free Wifi', 'Air conditioning', 'Heating', 'Elevator', 'Non-smoking rooms']"
"The Cumberland, London","London","1 Great Cumberland Place, Westminster Borough, London, W1H 7DL, United Kingdom Excellent location – rated 9.5/10!","8.0","['British Museum\n2.5 km', ""St James's Park\n2.3 km"", 'Churchill War Rooms\n3 km', 'Natural History Museum London\n2.9 km', 'Buckingham Palace\n2.1 km', 'Trafalgar Square\n2.8 km', 'Victoria and Albert Museum\n2.8 km', 'London Zoo\n3.1 km', ""Regent's Park\n2.2 km"", 'Piccadilly Circus\n2.1 km']","['RestaurantPrezzo\n10 m', 'RestaurantThe Brasserie at the Cumberland\n40 m', 'Cafe/BarBlank Street Coffee\n50 m']","['SubwayMarble Arch Tube Station 50 m', 'TrainLondon Marylebone 1.4 km', 'BusVictoria Coach Station 2.8 km', 'TrainPaddington Station 1.5 km', 'BusSmith Close 9 km', 'SubwayBond Street Tube Station 750 m']","['London Heathrow Airport\n22 km', 'London Gatwick Airport\n47 km', 'London City Airport\n16 km']","False","['Portuguese', 'Arabic', 'Ukrainian', 'Spanish', 'Italian', 'Romanian', 'Dutch', 'Russian', 'French', 'Lithuanian', 'English', 'Greek', 'Polish', 'Punjabi', 'Croatian', 'German']","From 3:00 PM","Until 11:00 AM","False","['Non-smoking rooms', 'Family rooms', 'Fitness center', 'Room service', 'Tea/Coffee Maker in All Rooms', 'Good Breakfast', '2 restaurants', 'Bar', 'Facilities for disabled guests', 'Free Wifi']"
"London Hilton on Park Lane","London","22 Park Lane, Westminster Borough, London, W1K 1BE, United Kingdom Excellent location – rated 9.2/10!","8.0","[""Madame Tussaud's\n2.3 km"", 'Victoria and Albert Museum\n2.5 km', 'Big Ben\n2.3 km', 'Churchill War Rooms\n1.8 km', 'Somerset House\n2.7 km', 'British Museum\n2.7 km', 'Trafalgar Square\n2 km', 'Natural History Museum London\n2.8 km', 'Banqueting House\n2 km']","['Cafe/BarRed Room\n100 m', 'Restaurant24 Mayfair\n50 m', 'RestaurantBaroque\n100 m']","['BusSmith Close 8 km', 'SubwayGreen Park 650 m', 'SubwayHyde Park Corner Tube Station 550 m', 'TrainVictoria Train Station 1.8 km', 'TrainCharing Cross Station 2.2 km', 'BusVictoria Coach Station 2 km']","['London Heathrow Airport\n21 km', 'London Gatwick Airport\n46 km', 'London City Airport\n15 km']","False","['Japanese', 'Arabic', 'Spanish', 'Italian', 'French', 'English', 'German']","From 3:00 PM to 12:00 AM","From 7:00 AM to 12:00 PM","False","['Private Parking', 'Restaurant', 'Non-smoking rooms', 'Wifi in all areas', 'Family rooms', 'Fitness center', 'Room service', 'Very Good Breakfast', 'Bar', 'Facilities for disabled guests']"
"The Marble Arch Hotel, by Thistle","London","Bryanston Street, Marble Arch, Westminster Borough, London, W1H 7EH, United Kingdom Excellent location – rated 9.3/10!","7.6","['London Zoo\n2.9 km', 'British Museum\n2.4 km', 'Buckingham Palace\n2.2 km', ""St James's Park\n2.2 km"", 'Churchill War Rooms\n2.9 km', 'Piccadilly Circus\n1.9 km', 'Victoria and Albert Museum\n2.9 km', ""Regent's Park\n2 km"", 'Trafalgar Square\n2.6 km', 'Banqueting House\n2.9 km']","['RestaurantTexture\n30 m', 'RestaurantAmba Hotel Marble Arch\n50 m', 'RestaurantGlenn Miller Bar\n50 m']","['BusVictoria Coach Station 3 km', 'SubwayMarble Arch Tube Station 300 m', 'TrainLondon Marylebone 1.4 km', 'BusSmith Close 9 km', 'SubwayBond Street Tube Station 600 m', 'TrainPaddington Station 1.7 km']","['London Heathrow Airport\n22 km', 'London Gatwick Airport\n47 km', 'London City Airport\n16 km']","False","[]","From 3:00 PM","Until 11:00 AM","False","['Elevator', 'Non-smoking rooms', 'Family rooms', 'Fitness center', 'Room service', 'Tea/Coffee Maker in All Rooms', 'Good Breakfast', '2 restaurants', '24-hour front desk', 'Free Wifi']"
"1 Hotel Mayfair","London","3 Berkeley Street, Westminster Borough, London, W1J 8NE, United Kingdom Excellent location – rated 9.8/10!","","['Victoria and Albert Museum\n3 km', 'Churchill War Rooms\n1.4 km', 'Somerset House\n2 km', ""Regent's Park\n2.8 km"", 'Natural History Museum London\n3.4 km', ""Madame Tussaud's\n2.4 km"", 'British Museum\n2 km', 'Big Ben\n1.9 km', 'Banqueting House\n1.6 km', 'Trafalgar Square\n1.4 km']","['RestaurantKinta Loma\n10 m', 'RestaurantNovikov\n100 m']","['BusSmith Close 8 km', 'BusVictoria Coach Station 2.1 km', 'TrainVictoria Train Station 1.7 km', 'SubwayPiccadilly Circus Tube Station 650 m', 'SubwayGreen Park 100 m', 'TrainCharing Cross Station 1.5 km']","['London Heathrow Airport\n21 km', 'London City Airport\n14 km', 'London Gatwick Airport\n46 km']","False","[]","From 3:00 PM to 12:00 AM","Until 12:00 PM","False","['Restaurant', 'Non-smoking rooms', 'Spa', 'Family rooms', 'Fitness center', 'Tea/Coffee Maker in All Rooms', 'Parking', 'Excellent Breakfast', 'Bar', 'Free Wifi']"
"Radisson Blu Hotel, London Bloomsbury","London","9-13 Bloomsbury Street, Nr Covent Garden, Camden, London, WC1B 3QD, United Kingdom Excellent location – rated 9.2/10!","","['Buckingham Palace\n2.5 km', 'Trafalgar Square\n1.2 km', 'Somerset House\n1.1 km', 'Big Ben\n2.1 km', ""Madame Tussaud's\n2.6 km"", 'Piccadilly Circus\n1.1 km', ""Regent's Park\n2.4 km"", 'Banqueting House\n1.6 km', ""St James's Park\n2 km"", 'Churchill War Rooms\n2 km']","['RestaurantThe Museum Food Hall Limited\n30 m', 'RestaurantSteak and Lobster\n30 m', 'RestaurantTas Restaurant\n30 m']","['BusVictoria Coach Station 3.8 km', 'SubwayHolborn Tube Station 600 m', 'TrainEuston Train Station 1.5 km', 'SubwayTottenham Court Road Tube Station 400 m', ""BusSt Dunstan's Church (Stop X) 6 km"", 'TrainCharing Cross Station 1.2 km']","['London Gatwick Airport\n47 km', 'London Heathrow Airport\n24 km', 'London City Airport\n13 km']","False","[]","From 3:00 PM","Until 12:00 PM","False","['Restaurant', 'Non-smoking rooms', 'Family rooms', 'Fitness center', 'Room service', 'Tea/Coffee Maker in All Rooms', 'Good Breakfast', 'Bar', 'Facilities for disabled guests', 'Free Wifi']"
"Central Luxe Stay - 4 mins to Aldgate East Station","Barcelona","Herbert House, Old Castle Street 40, London, E1 7TW, United Kingdom After booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account.","","['London Bridge\n1.7 km', 'Somerset House\n3.7 km', 'Victoria Park\n4 km', 'Churchill War Rooms\n5 km', 'HMS Belfast\n2.3 km', 'British Museum\n4.2 km', 'Trafalgar Square\n4.4 km', 'Banqueting House\n4.5 km', 'Piccadilly Circus\n4.9 km', 'Big Ben\n4.7 km']","['Cafe/BarCosta Coffee\n150 m', 'RestaurantI Falafel\n150 m', 'RestaurantHungry Donkey Greek Kitchen\n50 m']","['BusStepney Green School (Stop M) 2.6 km', ""BusSt Dunstan's Church (Stop X) 2.4 km"", 'TrainFenchurch Street Train Station 800 m', 'SubwayAldgate East Tube Station 300 m', 'TrainLondon Liverpool Street 850 m', 'SubwayAldgate Tube Station 500 m']","['London Heathrow Airport\n27 km', 'London City Airport\n9 km', 'London Gatwick Airport\n47 km']","False","[]","From 3:00 PM to 11:00 PM","From 8:00 AM to 11:00 AM","True","['Family rooms', 'Free Wifi', 'Heating', 'Elevator']"
"2BR/2Bath Luxury Modern Flat in the City London","Barcelona","33 Commercial Street Flat 1, Tower Hamlets, London, E1 6DH, United Kingdom After booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account.","","['London Bridge\n1.7 km', 'HMS Belfast\n2.4 km', 'Victoria Park\n4 km', 'Churchill War Rooms\n5 km', 'British Museum\n4.2 km', 'Trafalgar Square\n4.4 km', 'Banqueting House\n4.5 km', 'Piccadilly Circus\n4.9 km', 'Somerset House\n3.8 km', 'Big Ben\n4.8 km']","['RestaurantUnity Diner\n100 m', 'RestaurantThe Culpeper\n50 m', 'RestaurantYuu Kitchen\n7 m']","['SubwayAldgate Tube Station 550 m', ""BusSt Dunstan's Church (Stop X) 2.3 km"", 'TrainLondon Liverpool Street 900 m', 'TrainTower Gateway 850 m', 'BusStepney Green School (Stop M) 2.5 km', 'SubwayAldgate East Tube Station 200 m']","['London Heathrow Airport\n27 km', 'London City Airport\n9 km', 'London Gatwick Airport\n47 km']","False","[]","From 2:00 PM to 12:00 AM","From 1:00 AM to 11:00 AM","True","['Elevator', 'Non-smoking rooms', '24-hour front desk', 'Free Wifi', 'Heating']"
"Safran House","Barcelona","66 Middlesex Street Flat 66 A, London, E1 7EZ, United Kingdom Excellent location – rated 9.5/10!","","[]","[]","[]","[]","False","[]","From 1:00 PM to 9:00 PM","From 6:00 AM to 11:00 AM","False","['Laundry', 'Free Wifi', 'Heating']"
"STUDIO IN THE HEART OF THE CITY - ALDGATE ZONE 1","Barcelona","Aldgate High Street Flat 6 Statue House, City of London, London, EC3N 1AL, United Kingdom Excellent location – rated 9.3/10!","","['HMS Belfast\n2 km', 'Somerset House\n3.4 km', 'British Museum\n3.9 km', 'Tower Bridge\n1.4 km', 'Victoria Park\n4.1 km', 'Piccadilly Circus\n4.6 km', 'Trafalgar Square\n4.1 km', 'Banqueting House\n4.2 km', 'Big Ben\n4.4 km', 'Churchill War Rooms\n4.6 km']","['RestaurantSuchef\n100 m', 'RestaurantRoyal Kitchen\n6 m', 'RestaurantSatyrio\n7 m']","['BusStepney Methodist Church (Stop LL) 2.3 km', 'TrainTower Gateway 500 m', 'SubwayAldgate East Tube Station 250 m', ""BusSt Dunstan's Church (Stop X) 2.4 km"", 'TrainFenchurch Street Train Station 450 m', 'SubwayAldgate Tube Station 150 m']","['London Heathrow Airport\n27 km', 'London City Airport\n9 km', 'London Gatwick Airport\n47 km']","False","['Tower of London950 m', 'St Dunstan-in-the-East900 m', 'London Bridge1.3 km', 'Altab Ali Park450 m', 'Heron Tower700 m', 'Monument to the Great Fire of London1 km', 'Middle Tower850 m', 'The Gherkin500 m', 'Sky Garden750 m', 'Finsbury Circus Gardens1.1 km']","From 3:00 PM to 10:00 PM","From 8:00 AM to 10:00 AM","False","['Elevator', 'Non-smoking rooms', 'Family rooms', 'Airport shuttle', 'Free Wifi', 'Heating']"
"Charming Two-Bedroom Apartment in the Heart of the City of London","Barcelona","39 Goulston St, London, E1 7TS, United Kingdom After booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account.","","['London Bridge\n1.7 km', 'Big Ben\n4.6 km', 'Banqueting House\n4.4 km', 'Churchill War Rooms\n4.8 km', 'Victoria Park\n4.1 km', 'Trafalgar Square\n4.3 km', 'HMS Belfast\n2.3 km', 'British Museum\n4.1 km', 'Piccadilly Circus\n4.8 km', 'Somerset House\n3.6 km']","['RestaurantEye Falafel\n50 m', 'RestaurantThe Hungry Tummy\n50 m', 'RestaurantHappy Days\n1 m']","['BusStepney Green School (Stop M) 2.6 km', 'TrainLondon Liverpool Street 700 m', 'TrainFenchurch Street Train Station 750 m', ""BusSt Dunstan's Church (Stop X) 2.5 km"", 'SubwayAldgate Tube Station 450 m', 'SubwayAldgate East Tube Station 400 m']","['London Heathrow Airport\n27 km', 'London City Airport\n9 km', 'London Gatwick Airport\n47 km']","False","[]","From 3:00 PM to 10:00 PM","From 8:00 AM to 11:00 AM","True","['Free Wifi', 'Non-smoking rooms']"
"Sofitel Frankfurt Opera","Frankfurt","Opernplatz 16, 60313 Frankfurt, Germany Excellent location – rated 9.6/10!","","['Palmengarten\n1.7 km', 'Eiserner Steg\n1.3 km', 'Senckenberg Natural History Museum\n1.9 km', 'Städel Museum\n1.8 km', 'German Leather Museum Offenbach\n7 km', 'German Film Museum\n1.5 km', 'Museumsufer\n1.9 km', 'Römerberg\n1.1 km', 'Archeologic Museum\n1.1 km', 'Europaturm\n3.3 km']","['RestaurantMiller & Carter Steakhouse\n50 m', 'RestaurantPizza Pasta Scialpi\n100 m', 'Cafe/BarPearly Gates\n50 m']","['SubwayAlte Oper 250 m', 'TrainTaunusanlage 500 m', 'SubwayEschenheimer Tor 500 m', 'TrainHauptwache 500 m']","['Frankfurt Airport\n11 km']","False","[]","From 3:00 PM","Until 12:00 PM","False","['Spa', 'Non-smoking rooms', 'Family rooms', 'Indoor swimming pool', 'Tea/Coffee Maker in All Rooms', 'Good Breakfast', 'Airport shuttle', 'Bar', 'Parking on site', 'Free Wifi']"
"Mercure Hotel Kaiserhof City Center","Frankfurt","Kaiserstrasse 62, Bahnhofsviertel, 60329 Frankfurt, Germany After booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account.","","['Stadel Art Museum\n1 km', 'Römerberg\n1.2 km', 'Senckenberg Natural History Museum\n1.8 km', 'German Film Museum\n1.1 km', 'German Leather Museum Offenbach\n7 km', 'Palmengarten\n2 km', 'Museumsufer\n1.9 km', 'Europaturm\n3.9 km', 'Hauptwache\n1 km', 'Eiserner Steg\n1.2 km']","[""RestaurantKakadu's\n6 m"", 'RestaurantFeinkost Paradies\n20 m', 'RestaurantYan Jing\n5 m']","['TrainHauptbahnhof 250 m', 'TrainFrankfurt Central Station 250 m', 'SubwayWilly-Brandt-Platz 600 m', 'SubwayHauptbahnhof (U-Bahn) 300 m']","['Frankfurt Airport\n10 km']","False","[]","From 3:00 PM","Until 12:00 PM","True","['Elevator', 'Private Parking', 'Non-smoking rooms', 'Fitness center', 'Laundry', 'Tea/Coffee Maker in All Rooms', 'Excellent Breakfast', 'Bar', '24-hour front desk', 'Free Wifi']"
"Hyatt Place Frankfurt Airport","Frankfurt","De-Saint-Exupéry-Strasse 4, 60549 Frankfurt, Germany Excellent location – rated 9/10!","","['Palmengarten\n11 km', 'Hauptwache\n12 km', 'Römerberg\n12 km', 'Goethe House\n10 km', 'Städel Museum\n9 km', 'Senckenberg Natural History Museum\n10 km', 'German Film Museum\n9 km', 'Museumsufer\n11 km', 'Eiserner Steg\n11 km']","['RestaurantYazzo\n50 m', ""RestaurantLindbergh's Café\n200 m"", 'RestaurantZoom Restaurant - Glocal Dining\n4 m']","['SubwayGüterplatz 9 km', 'TrainTerminal 2 — Concourses D, E 1.7 km', 'TrainTerminal 1 C 1.7 km', 'SubwayHauptbahnhof (U-Bahn) 9 km']","['Frankfurt Airport\n350 m']","False","[]","From 3:00 PM","Until 12:00 PM","False","['Private Parking', 'Restaurant', 'Non-smoking rooms', 'Family rooms', 'Fitness center', 'Tea/Coffee Maker in All Rooms', 'Excellent Breakfast', '24-hour front desk', 'Facilities for disabled guests', 'Free Wifi']"
"Motel One Frankfurt-Römer","Frankfurt","Berliner Strasse 55, Frankfurt City Center (Old Town), 60311 Frankfurt, Germany Excellent location – rated 9.5/10!","","['Senckenberg Natural History Museum\n2.6 km', 'Palmengarten\n2.4 km', 'Museumsufer\n1 km', 'Europaturm\n4.2 km', 'German Leather Museum Offenbach\n6 km', 'Eiserner Steg\n450 m', 'German Film Museum\n800 m', 'Main Tower\n800 m', 'Städel Museum\n1.2 km', 'Cathedral Museum\n450 m']","['RestaurantChina Garten\n50 m', 'RestaurantCresco Frankfurt\n50 m', 'RestaurantIsoletta Pmp\n50 m']","['SubwayDom/Römer 300 m', 'SubwayWilly-Brandt-Platz 350 m', 'TrainHauptwache 550 m', 'TrainFrankfurt (Main) Eiserner Steg 400 m']","['Frankfurt Airport\n11 km']","False","[]","From 3:00 PM to 12:00 AM","Until 12:00 PM","False","['Elevator', 'Private Parking', 'Non-smoking rooms', 'Good Breakfast', 'Bar', '24-hour front desk', 'Facilities for disabled guests', 'Free Wifi']"
"NH Collection Frankfurt Spin Tower","Frankfurt","Güterplatz 1, Gallusviertel, 60327 Frankfurt, Germany Excellent location – rated 9/10!","","['Museumsufer\n2.8 km', 'German Leather Museum Offenbach\n8 km', 'Eiserner Steg\n2.3 km', 'Städel Museum\n1.7 km', 'Europaturm\n3.8 km', 'German Film Museum\n2 km', 'Römerberg\n2.2 km', 'Hauptwache\n2 km', 'Palmengarten\n1.8 km', 'Goethe House\n1.9 km']","['RestaurantPizza Tomate\n100 m', 'RestaurantMeazas Place\n30 m', 'RestaurantEmpanadiso\n100 m']","['TrainHauptbahnhof 900 m', 'SubwayGüterplatz 500 m', 'SubwayFesthalle/Messe 500 m', 'TrainFrankfurt Central Station 750 m']","['Frankfurt Airport\n10 km']","False","[]","From 3:00 PM","From 1:00 AM to 12:00 PM","False","['Private Parking', 'Restaurant', 'Non-smoking rooms', 'Fitness center', 'Tea/Coffee Maker in All Rooms', 'Room service', 'Excellent Breakfast', '24-hour front desk', 'Facilities for disabled guests', 'Free Wifi']"
